fid,srtm_36_04,X,Y
"61",1080.0000000000,-3.0329166667,42.3920833330
"62",1101.0000000000,-3.0320833333,42.3920833330
"63",1123.0000000000,-3.0312500000,42.3920833330
"64",1132.0000000000,-3.0304166667,42.3920833330
"65",1139.0000000000,-3.0295833333,42.3920833330
"66",1140.0000000000,-3.0287500000,42.3920833330
"67",1135.0000000000,-3.0279166667,42.3920833330
"68",1138.0000000000,-3.0270833333,42.3920833330
"69",1139.0000000000,-3.0262500000,42.3920833330
"70",1133.0000000000,-3.0254166667,42.3920833330
"71",1125.0000000000,-3.0245833333,42.3920833330
"72",1126.0000000000,-3.0237500000,42.3920833330
"73",1129.0000000000,-3.0229166667,42.3920833330
"74",1122.0000000000,-3.0220833333,42.3920833330
"75",1114.0000000000,-3.0212500000,42.3920833330
"76",1126.0000000000,-3.0204166667,42.3920833330
"77",1139.0000000000,-3.0195833333,42.3920833330
"78",1129.0000000000,-3.0187500000,42.3920833330
"79",1110.0000000000,-3.0179166667,42.3920833330
"80",1088.0000000000,-3.0170833333,42.3920833330
"81",1062.0000000000,-3.0162500000,42.3920833330
"82",1045.0000000000,-3.0154166667,42.3920833330
"83",1037.0000000000,-3.0145833333,42.3920833330
"84",1030.0000000000,-3.0137500000,42.3920833330
"85",1018.0000000000,-3.0129166667,42.3920833330
"86",1004.0000000000,-3.0120833333,42.3920833330
"87",985.0000000000,-3.0112500000,42.3920833330
"88",976.0000000000,-3.0104166667,42.3920833330
"89",989.0000000000,-3.0095833333,42.3920833330
"90",1006.0000000000,-3.0087500000,42.3920833330
"91",997.0000000000,-3.0079166667,42.3920833330
"92",987.0000000000,-3.0070833333,42.3920833330
"93",968.0000000000,-3.0062500000,42.3920833330
"94",972.0000000000,-3.0054166667,42.3920833330
"95",979.0000000000,-3.0045833333,42.3920833330
"96",969.0000000000,-3.0037500000,42.3920833330
"97",983.0000000000,-3.0029166667,42.3920833330
"98",990.0000000000,-3.0020833333,42.3920833330
"99",979.0000000000,-3.0012500000,42.3920833330
"100",986.0000000000,-3.0004166667,42.3920833330
"101",1005.0000000000,-2.9995833333,42.3920833330
"102",1011.0000000000,-2.9987500000,42.3920833330
"103",1003.0000000000,-2.9979166667,42.3920833330
"104",975.0000000000,-2.9970833333,42.3920833330
"105",943.0000000000,-2.9962500000,42.3920833330
"106",917.0000000000,-2.9954166667,42.3920833330
"107",892.0000000000,-2.9945833333,42.3920833330
"108",873.0000000000,-2.9937500000,42.3920833330
"109",866.0000000000,-2.9929166667,42.3920833330
"110",856.0000000000,-2.9920833333,42.3920833330
"111",838.0000000000,-2.9912500000,42.3920833330
"112",828.0000000000,-2.9904166667,42.3920833330
"113",819.0000000000,-2.9895833333,42.3920833330
"114",801.0000000000,-2.9887500000,42.3920833330
"115",788.0000000000,-2.9879166667,42.3920833330
"116",778.0000000000,-2.9870833333,42.3920833330
"117",770.0000000000,-2.9862500000,42.3920833330
"118",761.0000000000,-2.9854166667,42.3920833330
"119",760.0000000000,-2.9845833333,42.3920833330
"120",750.0000000000,-2.9837500000,42.3920833330
"121",738.0000000000,-2.9829166667,42.3920833330
"122",725.0000000000,-2.9820833333,42.3920833330
"123",719.0000000000,-2.9812500000,42.3920833330
"124",714.0000000000,-2.9804166667,42.3920833330
"125",711.0000000000,-2.9795833333,42.3920833330
"126",710.0000000000,-2.9787500000,42.3920833330
"127",708.0000000000,-2.9779166667,42.3920833330
"128",708.0000000000,-2.9770833333,42.3920833330
"129",708.0000000000,-2.9762500000,42.3920833330
"130",708.0000000000,-2.9754166667,42.3920833330
"131",708.0000000000,-2.9745833333,42.3920833330
"132",707.0000000000,-2.9737500000,42.3920833330
